stamp,mean_abs_err_cm,var_abs_err_cm2,count,density,conf_mean,conf_var
1757175383.878,36.200023,2158.466130,38400,1.000000,0.812368,0.003518
1757175383.978,39.260599,2342.296839,38400,1.000000,0.816182,0.003261
1757175384.078,36.309880,2104.861289,38400,1.000000,0.812535,0.003218
1757175384.178,34.885329,2086.677402,38400,1.000000,0.814208,0.003297
1757175384.278,34.834424,2142.853737,38400,1.000000,0.811638,0.003307
1757175384.378,36.624339,2289.420515,38400,1.000000,0.812756,0.003610
1757175384.478,34.555981,2292.104661,38400,1.000000,0.816739,0.003665
1757175384.578,35.729891,2121.365815,38400,1.000000,0.809788,0.004294
1757175384.678,34.831142,2377.311140,38400,1.000000,0.811325,0.003908
1757175384.778,36.865452,2524.422705,38400,1.000000,0.813135,0.004263
1757175379.778,34.887746,2224.320024,38400,1.000000,0.827100,0.001854
1757175379.878,37.520224,2459.547669,38400,1.000000,0.827325,0.001981
1757175379.978,32.776165,2381.835431,38400,1.000000,0.829965,0.002504
1757175380.078,32.026836,2108.520567,38400,1.000000,0.825422,0.002347
1757175380.178,33.051759,2064.587474,38400,1.000000,0.821769,0.002157
1757175380.278,35.692263,2588.646114,38400,1.000000,0.821640,0.002325
1757175380.378,35.872403,2563.630044,38400,1.000000,0.814482,0.002728
1757175380.478,33.990782,2464.151978,38400,1.000000,0.808445,0.002970
1757175380.578,27.211574,1846.415401,38400,1.000000,0.814412,0.002687
1757175380.678,30.696124,2054.802924,38400,1.000000,0.821845,0.002450
1757175380.778,37.729937,2758.917212,38400,1.000000,0.818205,0.002582
1757175380.878,29.902363,1848.209053,38400,1.000000,0.816144,0.002477
1757175380.978,29.306889,1850.285828,38400,1.000000,0.816676,0.002407
1757175381.078,31.058994,1917.820275,38400,1.000000,0.814558,0.002447
1757175381.178,33.693802,1946.365088,38400,1.000000,0.815582,0.002461
1757175381.278,34.551892,2488.498241,38400,1.000000,0.815186,0.003046
1757175381.378,31.457946,1721.337289,38400,1.000000,0.816911,0.003339
1757175381.478,37.777314,2419.103980,38400,1.000000,0.819644,0.003020
1757175381.578,36.266410,2225.940675,38400,1.000000,0.814855,0.003015
1757175381.678,35.142887,1941.576600,38400,1.000000,0.820613,0.002710
1757175381.778,35.925734,2128.721327,38400,1.000000,0.820494,0.002747
1757175381.878,35.977775,2311.712205,38400,1.000000,0.821845,0.002484
1757175381.978,38.241109,2621.182799,38400,1.000000,0.825109,0.002835
1757175382.078,40.600187,2675.393224,38400,1.000000,0.828564,0.002331
1757175382.178,35.289064,2280.366272,38400,1.000000,0.829370,0.001763
1757175382.278,31.110677,1886.931658,38400,1.000000,0.824493,0.002168
1757175382.378,40.329778,2625.668347,38400,1.000000,0.821314,0.002644
1757175382.478,39.209500,2743.026316,38400,1.000000,0.819173,0.002564
1757175382.578,35.841447,2176.977247,38400,1.000000,0.818102,0.002790
1757175382.678,31.063402,1875.261813,38400,1.000000,0.811802,0.003330
1757175382.778,30.631948,1889.087707,38400,1.000000,0.814719,0.003182
1757175382.878,31.378102,2126.981616,38400,1.000000,0.817789,0.003278
1757175382.978,36.511016,2397.674620,38400,1.000000,0.819533,0.002628
1757175383.078,32.867873,1963.592470,38400,1.000000,0.816524,0.002164
1757175383.178,37.982586,2548.362911,38400,1.000000,0.818795,0.002069
1757175383.278,36.588278,2496.733814,38400,1.000000,0.815421,0.002526
1757175383.378,35.626933,2207.309008,38400,1.000000,0.815265,0.002364
1757175383.478,36.015922,2549.202740,38400,1.000000,0.817440,0.002138
1757175383.578,33.683184,2324.465662,38400,1.000000,0.815822,0.002456
1757175383.678,43.331838,2676.168382,38400,1.000000,0.822187,0.002196
1757175383.778,35.087299,2049.688250,38400,1.000000,0.819417,0.002452
1757175383.878,36.200023,2158.466130,38400,1.000000,0.812368,0.003518
1757175383.978,39.260599,2342.296839,38400,1.000000,0.816182,0.003261
1757175384.078,36.309880,2104.861289,38400,1.000000,0.812535,0.003218
1757175384.178,34.885329,2086.677402,38400,1.000000,0.814208,0.003297
1757175384.278,34.834424,2142.853737,38400,1.000000,0.811638,0.003307
1757175384.378,36.624339,2289.420515,38400,1.000000,0.812756,0.003610
1757175384.478,34.555981,2292.104661,38400,1.000000,0.816739,0.003665
1757175384.578,35.729891,2121.365815,38400,1.000000,0.809788,0.004294
1757175384.678,34.831142,2377.311140,38400,1.000000,0.811325,0.003908
1757175384.778,36.865452,2524.422705,38400,1.000000,0.813135,0.004263
1757175384.878,39.701623,3055.091202,38400,1.000000,0.813642,0.003300
1757175384.978,35.224009,2210.257500,38400,1.000000,0.818283,0.003162
1757175385.078,38.205811,2947.306931,38400,1.000000,0.814428,0.003231
1757175385.178,38.056636,3255.869150,38400,1.000000,0.815833,0.003170
1757175385.278,33.535516,2152.907997,38400,1.000000,0.818454,0.002884
1757175385.378,35.153535,2351.629883,38400,1.000000,0.812677,0.003048
1757175385.478,35.416728,2408.836633,38400,1.000000,0.814342,0.003126
1757175385.578,35.560861,2349.459082,38400,1.000000,0.812881,0.003101
1757175385.678,32.879522,1973.843873,38400,1.000000,0.814438,0.003131
1757175385.778,34.572947,2556.679249,38400,1.000000,0.816985,0.003247
